break

[0 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[5 7 0]
[6 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[6 7 0]
[6 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 7 0]
[3 7 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[5 7 0]
[6 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[5 7 0]
[5 7 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 7 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[5 5 0]
[6 4 0]
[8 4 0]
[8 4 0]
[8 4 0]
[8 4 0]
[8 4 0]
[6 4 0]
[6 4 0]
[5 5 0]
[5 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 4 0]
[3 4 0]
[3 4 0]
[3 4 0]
[3 4 0]
[3 4 0]
[3 3 0]
[3 3 0]
[3 3 0]
[3 3 0]
[3 2 0]
[3 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 1 1]
[1 1 1]
[1 1 1]
[1 1 1]
[1 0 2]
[1 0 2]
[1 0 4]
[1 0 4]
[1 0 4]
[1 0 4]
[1 0 5]
[1 0 4]
[3 1 1]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 1]
[3 1 1]
